2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第124期-2024年度-20250626_115206_901959.json20250626_115256_451102.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第125期-2024年度-20250626_115206_161156.json20250626_115256_458666.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第126期-2024年度-20250626_115205_392143.json20250626_115256_466466.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第127期-2024年度-20250626_115204_654869.json20250626_115256_471241.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第128期-2024年度-20250626_115203_976171.json20250626_115256_478713.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第129期-2024年度-20250626_115203_092302.json20250626_115256_485687.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第12期-2022年度-20250626_115113_004708.json20250626_115256_491835.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第130期-2024年度-20250626_115202_382859.json20250626_115256_498603.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第131期-2024年度-20250626_115201_623127.json20250626_115256_506327.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第132期-2024年度-20250626_115200_841449.json20250626_115256_519156.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第133期-2024年度-20250626_115200_135662.json20250626_115256_526795.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第134期-2025年度-20250626_115256_266805.json20250626_115256_549726.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第135期-2025年度-20250626_115255_553787.json20250626_115256_577309.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第136期-2025年度-20250626_115254_812089.json20250626_115256_612528.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第137期-2025年度-20250626_115254_059045.json20250626_115256_647258.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第138期-2025年度-20250626_115253_321491.json20250626_115256_679083.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第139期-2025年度-20250626_115252_629656.json20250626_115256_712187.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第13期-2022年度-20250626_115112_291824.json20250626_115256_719909.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第140期-2025年度-20250626_115251_842575.json20250626_115256_750594.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第141期-2025年度-20250626_115251_033342.json20250626_115256_779019.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第142期-2025年度-20250626_115250_292089.json20250626_115256_806289.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第143期-2025年度-20250626_115249_541348.json20250626_115256_840846.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第144期-2025年度-20250626_115248_832347.json20250626_115256_867634.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第145期-2025年度-20250626_115248_134023.json20250626_115256_894113.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第146期-2025年度-20250626_115247_460348.json20250626_115256_920411.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第147期-2025年度-20250626_115246_838645.json20250626_115256_928571.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第148期-2025年度-20250626_115246_128739.json20250626_115256_936823.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第149期-2025年度-20250626_115245_437158.json20250626_115256_945193.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第14期-2022年度-20250626_115111_547414.json20250626_115256_953239.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第150期-2025年度-20250626_115244_742108.json20250626_115256_960575.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第151期-2025年度-20250626_115244_061329.json20250626_115256_967607.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第152期-2025年度-20250626_115243_321392.json20250626_115256_976401.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第153期-2025年度-20250626_115242_517604.json20250626_115256_986519.json
2025-06-26 11:52:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第154期-2025年度-20250626_115241_713039.json20250626_115256_993690.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第155期-2025年度-20250626_115241_001059.json20250626_115257_001783.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第156期-2025年度-20250626_115240_262464.json20250626_115257_009737.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第157期-2025年度-20250626_115239_521853.json20250626_115257_017658.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第158期-2025年度-20250626_115238_836663.json20250626_115257_026077.json
